iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2020_frequency
iri,Latn,iri_Latn,Rigwe,?,Po,QUESTION MARK,5,2,"2017,2020",3,2
iri,Latn,iri_Latn,Rigwe,(,Ps,LEFT PARENTHESIS,4,1,2017,4,0
iri,Latn,iri_Latn,Rigwe,),Pe,RIGHT PARENTHESIS,4,1,2017,4,0
iri,Latn,iri_Latn,Rigwe,!,Po,EXCLAMATION MARK,4,1,2017,4,0
iri,Latn,iri_Latn,Rigwe,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,3,1,2017,3,0
iri,Latn,iri_Latn,Rigwe,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,3,1,2020,0,3
iri,Latn,iri_Latn,Rigwe,P,Lu,LATIN CAPITAL LETTER P,2,1,2017,2,0
iri,Latn,iri_Latn,Rigwe,O,Lu,LATIN CAPITAL LETTER O,2,1,2017,2,0
iri,Latn,iri_Latn,Rigwe,C,Lu,LATIN CAPITAL LETTER C,2,1,2017,2,0
iri,Latn,iri_Latn,Rigwe,G,Lu,LATIN CAPITAL LETTER G,2,2,"2017,2020",1,1
iri,Latn,iri_Latn,Rigwe,è,Ll,LATIN SMALL LETTER E WITH GRAVE,2,1,2020,0,2
iri,Latn,iri_Latn,Rigwe,F,Lu,LATIN CAPITAL LETTER F,1,1,2017,1,0
iri,Latn,iri_Latn,Rigwe,ē,Ll,LATIN SMALL LETTER E WITH MACRON,1,1,2020,0,1
iri,Latn,iri_Latn,Rigwe,‘,Pi,LEFT SINGLE QUOTATION MARK,1,1,2020,0,1
iri,Latn,iri_Latn,Rigwe,’,Pf,RIGHT SINGLE QUOTATION MARK,1,1,2020,0,1
iri,Latn,iri_Latn,Rigwe,ê,Ll,LATIN SMALL LETTER E WITH CIRCUMFLEX,1,1,2020,0,1
iri,Latn,iri_Latn,Rigwe,L,Lu,LATIN CAPITAL LETTER L,1,1,2020,0,1
