iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2020_frequency
nnp,Latn,nnp_Latn,Wancho Naga,B,Lu,LATIN CAPITAL LETTER B,6,1,2020,6
nnp,Latn,nnp_Latn,Wancho Naga,W,Lu,LATIN CAPITAL LETTER W,6,1,2020,6
nnp,Latn,nnp_Latn,Wancho Naga,S,Lu,LATIN CAPITAL LETTER S,5,1,2020,5
nnp,Latn,nnp_Latn,Wancho Naga,Ü,Lu,LATIN CAPITAL LETTER U WITH DIAERESIS,5,1,2020,5
nnp,Latn,nnp_Latn,Wancho Naga,G,Lu,LATIN CAPITAL LETTER G,4,1,2020,4
nnp,Latn,nnp_Latn,Wancho Naga,E,Lu,LATIN CAPITAL LETTER E,3,1,2020,3
nnp,Latn,nnp_Latn,Wancho Naga,‘,Pi,LEFT SINGLE QUOTATION MARK,3,1,2020,3
nnp,Latn,nnp_Latn,Wancho Naga,’,Pf,RIGHT SINGLE QUOTATION MARK,3,1,2020,3
nnp,Latn,nnp_Latn,Wancho Naga,T,Lu,LATIN CAPITAL LETTER T,3,1,2020,3
nnp,Latn,nnp_Latn,Wancho Naga,R,Lu,LATIN CAPITAL LETTER R,2,1,2020,2
nnp,Latn,nnp_Latn,Wancho Naga,D,Lu,LATIN CAPITAL LETTER D,1,1,2020,1
