iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2021_frequency
tpw,Latn,tpw_Latn,UNKNOWN,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,3,1,2014,3,0
tpw,Latn,tpw_Latn,UNKNOWN,—,Pd,EM DASH,2,1,2014,2,0
tpw,Latn,tpw_Latn,UNKNOWN,ũ,Ll,LATIN SMALL LETTER U WITH TILDE,2,2,"2014,2021",1,1
tpw,Latn,tpw_Latn,UNKNOWN,Î,Lu,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,2,1,2014,2,0
tpw,Latn,tpw_Latn,UNKNOWN,Z,Lu,LATIN CAPITAL LETTER Z,2,1,2014,2,0
tpw,Latn,tpw_Latn,UNKNOWN,ĩ,Ll,LATIN SMALL LETTER I WITH TILDE,2,1,2021,0,2
tpw,Latn,tpw_Latn,UNKNOWN,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,2,1,2014,2,0
tpw,Latn,tpw_Latn,UNKNOWN,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,1,1,2014,1,0
tpw,Latn,tpw_Latn,UNKNOWN,0,Nd,DIGIT ZERO,1,1,2014,1,0
tpw,Latn,tpw_Latn,UNKNOWN,4,Nd,DIGIT FOUR,1,1,2014,1,0
tpw,Latn,tpw_Latn,UNKNOWN,9,Nd,DIGIT NINE,1,1,2014,1,0
tpw,Latn,tpw_Latn,UNKNOWN,5,Nd,DIGIT FIVE,1,1,2014,1,0
tpw,Latn,tpw_Latn,UNKNOWN,8,Nd,DIGIT EIGHT,1,1,2014,1,0
tpw,Latn,tpw_Latn,UNKNOWN,1,Nd,DIGIT ONE,1,1,2014,1,0
tpw,Latn,tpw_Latn,UNKNOWN,2,Nd,DIGIT TWO,1,1,2014,1,0
