iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2021_frequency,year_2022_frequency
uth,Latn,uth_Latn,ut-Hun,†,Po,DAGGER,46,1,2022,0,0,46
uth,Latn,uth_Latn,ut-Hun,D,Lu,LATIN CAPITAL LETTER D,41,2,"2021,2022",0,6,35
uth,Latn,uth_Latn,ut-Hun,l,Ll,LATIN SMALL LETTER L,40,2,"2019,2021",8,32,0
uth,Latn,uth_Latn,ut-Hun,‡,Po,DOUBLE DAGGER,37,1,2022,0,0,37
uth,Latn,uth_Latn,ut-Hun,é,Ll,LATIN SMALL LETTER E WITH ACUTE,32,1,2022,0,0,32
uth,Latn,uth_Latn,ut-Hun,§,Po,SECTION SIGN,31,1,2022,0,0,31
uth,Latn,uth_Latn,ut-Hun,;,Po,SEMICOLON,24,1,2022,0,0,24
uth,Latn,uth_Latn,ut-Hun,ɓ,Ll,LATIN SMALL LETTER B WITH HOOK,24,1,2021,0,24,0
uth,Latn,uth_Latn,ut-Hun,!,Po,EXCLAMATION MARK,22,1,2022,0,0,22
uth,Latn,uth_Latn,ut-Hun,“,Pi,LEFT DOUBLE QUOTATION MARK,20,2,"2021,2022",0,3,17
uth,Latn,uth_Latn,ut-Hun,”,Pf,RIGHT DOUBLE QUOTATION MARK,20,2,"2021,2022",0,3,17
uth,Latn,uth_Latn,ut-Hun,f,Ll,LATIN SMALL LETTER F,19,2,"2019,2021",13,6,0
uth,Latn,uth_Latn,ut-Hun,P,Lu,LATIN CAPITAL LETTER P,19,2,"2021,2022",0,2,17
uth,Latn,uth_Latn,ut-Hun,I,Lu,LATIN CAPITAL LETTER I,17,2,"2021,2022",0,2,15
uth,Latn,uth_Latn,ut-Hun,J,Lu,LATIN CAPITAL LETTER J,16,2,"2021,2022",0,14,2
uth,Latn,uth_Latn,ut-Hun,E,Lu,LATIN CAPITAL LETTER E,15,2,"2021,2022",0,2,13
